district,ps,reg_year,reg_month,count
AGRA,BASAUNI,2017,7,5
AGRA,BASAUNI,2017,8,20
AGRA,BASAUNI,2017,9,14
AGRA,BASAUNI,2017,10,6
AGRA,BASAUNI,2017,11,5
AGRA,BASAUNI,2017,12,3
AGRA,BASAUNI,2018,1,4
AGRA,BASAUNI,2018,2,4
AGRA,BASAUNI,2018,3,5
AGRA,BASAUNI,2018,4,2
AGRA,BASAUNI,2018,5,6
AGRA,BASAUNI,2018,6,5
AGRA,BASAUNI,2018,7,13
AGRA,BASAUNI,2018,8,2
AGRA,BASAUNI,2018,9,2
AGRA,BASAUNI,2018,10,3
AGRA,BASAUNI,2018,11,2
AGRA,BASAUNI,2018,12,2
AGRA,CHHATTA,2016,1,25
AGRA,CHHATTA,2016,2,14
AGRA,CHHATTA,2016,3,18
AGRA,CHHATTA,2016,4,18
AGRA,CHHATTA,2016,5,15
AGRA,CHHATTA,2016,6,27
AGRA,CHHATTA,2016,7,19
AGRA,CHHATTA,2016,8,26
AGRA,CHHATTA,2016,9,16
AGRA,CHHATTA,2016,10,24
AGRA,CHHATTA,2016,11,18
AGRA,CHHATTA,2016,12,15
AGRA,CHHATTA,2017,1,19
AGRA,CHHATTA,2017,2,11
AGRA,CHHATTA,2017,3,16
AGRA,CHHATTA,2017,4,17
AGRA,CHHATTA,2017,5,20
AGRA,CHHATTA,2017,6,18
AGRA,CHHATTA,2017,7,21
AGRA,CHHATTA,2017,8,31
AGRA,CHHATTA,2017,9,26
AGRA,CHHATTA,2017,10,30
AGRA,CHHATTA,2017,11,27
AGRA,CHHATTA,2017,12,13
AGRA,CHHATTA,2018,1,16
AGRA,CHHATTA,2018,2,15
AGRA,CHHATTA,2018,3,18
AGRA,CHHATTA,2018,4,19
AGRA,CHHATTA,2018,5,27
AGRA,CHHATTA,2018,6,26
AGRA,CHHATTA,2018,7,25
AGRA,CHHATTA,2018,8,22
AGRA,CHHATTA,2018,9,21
AGRA,CHHATTA,2018,10,29
AGRA,CHHATTA,2018,11,29
AGRA,CHHATTA,2018,12,22
AGRA,CHITRAHAT,2016,1,5
AGRA,CHITRAHAT,2016,2,8
AGRA,CHITRAHAT,2016,3,2
AGRA,CHITRAHAT,2016,4,5
AGRA,CHITRAHAT,2016,5,5
AGRA,CHITRAHAT,2016,6,8
AGRA,CHITRAHAT,2016,7,4
AGRA,CHITRAHAT,2016,8,8
AGRA,CHITRAHAT,2016,9,7
AGRA,CHITRAHAT,2016,10,6
AGRA,CHITRAHAT,2016,11,8
AGRA,CHITRAHAT,2016,12,12
AGRA,CHITRAHAT,2017,1,7
AGRA,CHITRAHAT,2017,2,1
AGRA,CHITRAHAT,2017,3,4
AGRA,CHITRAHAT,2017,4,15
AGRA,CHITRAHAT,2017,5,11
AGRA,CHITRAHAT,2017,6,6
AGRA,CHITRAHAT,2017,7,4
AGRA,CHITRAHAT,2017,8,8
AGRA,CHITRAHAT,2017,9,10
AGRA,CHITRAHAT,2017,10,19
AGRA,CHITRAHAT,2017,11,6
AGRA,CHITRAHAT,2017,12,8
AGRA,CHITRAHAT,2018,1,5
AGRA,CHITRAHAT,2018,2,1
AGRA,CHITRAHAT,2018,3,7
